DBN,School Name,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
01M134,P.S. 134 Henrietta Szold,2012-13,352,28,51,60,52,53,64,44,0,0,0,0,0,0,0,178,50.60%,174,49.40%,99,28.10%,64,18.20%,178,50.60%,1,0.30%,10,2.80%,74,21.00%,61,17.30%,305,86.60%
01M134,P.S. 134 Henrietta Szold,2013-14,318,33,41,38,53,46,49,58,0,0,0,0,0,0,0,152,47.80%,166,52.20%,84,26.40%,63,19.80%,162,50.90%,0,0.00%,9,2.80%,89,28.00%,47,14.80%,294,92.50%
01M134,P.S. 134 Henrietta Szold,2014-15,255,15,28,41,38,49,41,43,0,0,0,0,0,0,0,118,46.30%,137,53.70%,65,25.50%,49,19.20%,133,52.20%,0,0.00%,8,3.10%,82,32.20%,33,12.90%,238,93.30%
01M134,P.S. 134 Henrietta Szold,2015-16,263,15,39,33,47,40,51,38,0,0,0,0,0,0,0,125,47.50%,138,52.50%,56,21.30%,53,20.20%,145,55.10%,2,0.80%,7,2.70%,82,31.20%,31,11.80%,240,91.30%
01M137,P.S. 137 John L. Bernstein,2011-12,230,18,43,43,39,27,33,27,0,0,0,0,0,0,0,119,51.70%,111,48.30%,42,18.30%,57,24.80%,123,53.50%,1,0.40%,7,3.00%,68,29.60%,34,14.80%,216,93.90%
01M137,P.S. 137 John L. Bernstein,2012-13,178,11,19,26,38,32,27,25,0,0,0,0,0,0,0,91,51.10%,87,48.90%,25,14.00%,49,27.50%,98,55.10%,0,0.00%,6,3.40%,65,36.50%,24,13.50%,170,95.50%
01M137,P.S. 137 John L. Bernstein,2013-14,202,18,24,28,30,43,33,26,0,0,0,0,0,0,0,94,46.50%,108,53.50%,30,14.90%,53,26.20%,111,55.00%,1,0.50%,7,3.50%,73,36.10%,26,12.90%,192,95.00%
01M137,P.S. 137 John L. Bernstein,2014-15,186,18,23,22,21,32,41,29,0,0,0,0,0,0,0,87,46.80%,99,53.20%,26,14.00%,45,24.20%,108,58.10%,1,0.50%,6,3.20%,73,39.20%,22,11.80%,178,95.70%
01M137,P.S. 137 John L. Bernstein,2015-16,155,10,23,17,19,20,31,35,0,0,0,0,0,0,0,64,41.30%,91,58.70%,17,11.00%,39,25.20%,94,60.60%,0,0.00%,5,3.20%,62,40.00%,13,8.40%,149,96.10%
01M140,P.S. 140 Nathan Straus,2011-12,407,16,37,35,39,28,27,31,69,67,58,0,0,0,0,191,46.90%,216,53.10%,17,4.20%,66,16.20%,317,77.90%,0,0.00%,7,1.70%,110,27.00%,60,14.70%,407,100.00%
01M140,P.S. 140 Nathan Straus,2012-13,410,18,32,32,41,34,25,28,66,74,60,0,0,0,0,193,47.10%,217,52.90%,23,5.60%,61,14.90%,317,77.30%,1,0.20%,8,2.00%,119,29.00%,63,15.40%,410,100.00%
01M140,P.S. 140 Nathan Straus,2013-14,393,12,30,31,31,34,34,28,61,63,69,0,0,0,0,194,49.40%,199,50.60%,22,5.60%,50,12.70%,310,78.90%,1,0.30%,10,2.50%,137,34.90%,55,14.00%,393,100.00%
01M140,P.S. 140 Nathan Straus,2014-15,380,18,26,29,27,35,32,34,53,65,61,0,0,0,0,198,52.10%,182,47.90%,21,5.50%,40,10.50%,302,79.50%,2,0.50%,15,3.90%,134,35.30%,65,17.10%,380,100.00%
01M140,P.S. 140 Nathan Straus,2015-16,376,13,26,25,29,30,34,29,69,49,72,0,0,0,0,188,50.00%,188,50.00%,20,5.30%,47,12.50%,292,77.70%,4,1.10%,13,3.50%,129,34.30%,54,14.40%,376,100.00%
01M142,P.S. 142 Amalia Castro,2011-12,433,33,74,63,74,58,67,64,0,0,0,0,0,0,0,225,52.00%,208,48.00%,34,7.90%,58,13.40%,321,74.10%,8,1.80%,12,2.80%,113,26.10%,53,12.20%,430,99.30%
01M142,P.S. 142 Amalia Castro,2012-13,416,35,63,66,61,67,63,61,0,0,0,0,0,0,0,197,47.40%,219,52.60%,31,7.50%,59,14.20%,309,74.30%,8,1.90%,9,2.20%,119,28.60%,41,9.90%,409,98.30%
01M142,P.S. 142 Amalia Castro,2013-14,384,31,69,48,61,53,63,59,0,0,0,0,0,0,0,174,45.30%,210,54.70%,24,6.30%,53,13.80%,285,74.20%,15,3.90%,7,1.80%,119,31.00%,32,8.30%,375,97.70%
01M142,P.S. 142 Amalia Castro,2014-15,386,33,65,58,45,65,56,64,0,0,0,0,0,0,0,179,46.40%,207,53.60%,21,5.40%,55,14.20%,294,76.20%,10,2.60%,6,1.60%,117,30.30%,40,10.40%,372,96.40%
01M142,P.S. 142 Amalia Castro,2015-16,354,22,56,56,52,42,67,59,0,0,0,0,0,0,0,160,45.20%,194,54.80%,23,6.50%,40,11.30%,277,78.20%,6,1.70%,8,2.30%,118,33.30%,30,8.50%,341,96.30%
01M184,P.S. 184m Shuang Wen,2011-12,690,36,75,98,97,76,65,68,64,54,57,0,0,0,0,346,50.10%,344,49.90%,559,81.00%,29,4.20%,40,5.80%,4,0.60%,58,8.40%,58,8.40%,77,11.20%,493,71.40%
01M184,P.S. 184m Shuang Wen,2012-13,689,36,89,85,86,83,72,59,60,61,58,0,0,0,0,348,50.50%,341,49.50%,547,79.40%,26,3.80%,48,7.00%,7,1.00%,61,8.90%,62,9.00%,89,12.90%,477,69.20%
01M184,P.S. 184m Shuang Wen,2013-14,668,36,88,78,75,79,83,67,40,61,61,0,0,0,0,336,50.30%,332,49.70%,523,78.30%,20,3.00%,54,8.10%,16,2.40%,55,8.20%,76,11.40%,91,13.60%,474,71.00%
01M184,P.S. 184m Shuang Wen,2014-15,665,36,76,79,76,73,75,79,69,42,60,0,0,0,0,338,50.80%,327,49.20%,499,75.00%,21,3.20%,58,8.70%,29,4.40%,58,8.70%,85,12.80%,116,17.40%,459,69.00%
01M184,P.S. 184m Shuang Wen,2015-16,663,36,63,73,77,61,63,77,84,78,51,0,0,0,0,331,49.90%,332,50.10%,471,71.00%,24,3.60%,77,11.60%,34,5.10%,57,8.60%,106,16.00%,115,17.30%,464,70.00%
01M188,P.S. 188 The Island School,2011-12,388,20,35,29,42,32,26,35,65,54,50,0,0,0,0,177,45.60%,211,54.40%,10,2.60%,104,26.80%,255,65.70%,0,0.00%,19,4.90%,81,20.90%,65,16.80%,388,100.00%
01M188,P.S. 188 The Island School,2012-13,470,34,39,43,40,48,46,34,61,63,62,0,0,0,0,212,45.10%,258,54.90%,11,2.30%,124,26.40%,314,66.80%,1,0.20%,20,4.30%,100,21.30%,76,16.20%,470,100.00%
01M188,P.S. 188 The Island School,2013-14,501,32,48,41,47,49,51,45,49,73,66,0,0,0,0,232,46.30%,269,53.70%,12,2.40%,140,27.90%,327,65.30%,1,0.20%,21,4.20%,141,28.10%,76,15.20%,501,100.00%
01M188,P.S. 188 The Island School,2014-15,482,33,38,47,46,41,53,51,51,54,68,0,0,0,0,229,47.50%,253,52.50%,9,1.90%,151,31.30%,297,61.60%,1,0.20%,24,5.00%,131,27.20%,71,14.70%,482,100.00%
01M188,P.S. 188 The Island School,2015-16,489,31,47,48,50,43,43,54,52,60,61,0,0,0,0,216,44.20%,273,55.80%,9,1.80%,145,29.70%,312,63.80%,2,0.40%,21,4.30%,140,28.60%,77,15.70%,489,100.00%
01M292,Henry Street School for International Studies,2011-12,422,0,0,0,0,0,0,0,32,33,50,98,79,80,50,163,38.60%,259,61.40%,59,14.00%,123,29.10%,227,53.80%,6,1.40%,7,1.70%,106,25.10%,95,22.50%,338,80.10%
01M292,Henry Street School for International Studies,2012-13,388,0,0,0,0,0,0,0,19,32,35,82,80,75,65,149,38.40%,239,61.60%,49,12.60%,107,27.60%,213,54.90%,11,2.80%,8,2.10%,113,29.10%,82,21.10%,331,85.30%
01M292,Henry Street School for International Studies,2013-14,323,0,0,0,0,0,0,0,13,19,33,59,68,68,63,129,39.90%,194,60.10%,44,13.60%,84,26.00%,172,53.30%,13,4.00%,10,3.10%,107,33.10%,64,19.80%,271,83.90%
01M292,Henry Street School for International Studies,2014-15,255,0,0,0,0,0,0,0,17,14,19,59,52,36,58,96,37.60%,159,62.40%,32,12.50%,66,25.90%,142,55.70%,6,2.40%,9,3.50%,83,32.50%,30,11.80%,227,89.00%
01M292,Henry Street School for International Studies,2015-16,185,0,0,0,0,0,0,0,0,14,11,42,49,37,32,68,36.80%,117,63.20%,22,11.90%,49,26.50%,106,57.30%,2,1.10%,6,3.20%,63,34.10%,26,14.10%,160,86.50%
01M301,Technology  Arts  and Sciences Studio,2011-12,170,0,0,0,0,0,0,0,65,55,50,0,0,0,0,77,45.30%,93,54.70%,17,10.00%,41,24.10%,99,58.20%,2,1.20%,11,6.50%,56,32.90%,13,7.60%,170,100.00%
01M301,Technology  Arts  and Sciences Studio,2012-13,165,0,0,0,0,0,0,0,55,63,47,0,0,0,0,65,39.40%,100,60.60%,12,7.30%,42,25.50%,100,60.60%,4,2.40%,7,4.20%,63,38.20%,9,5.50%,143,86.70%
01M301,Technology  Arts  and Sciences Studio,2013-14,158,0,0,0,0,0,0,0,46,51,61,0,0,0,0,63,39.90%,95,60.10%,16,10.10%,39,24.70%,94,59.50%,4,2.50%,5,3.20%,57,36.10%,9,5.70%,144,91.10%
01M301,Technology  Arts  and Sciences Studio,2014-15,149,0,0,0,0,0,0,0,50,45,54,0,0,0,0,67,45.00%,82,55.00%,12,8.10%,40,26.80%,87,58.40%,5,3.40%,5,3.40%,60,40.30%,10,6.70%,129,86.60%
01M301,Technology  Arts  and Sciences Studio,2015-16,156,0,0,0,0,0,0,0,46,54,56,0,0,0,0,76,48.70%,80,51.30%,12,7.70%,45,28.80%,86,55.10%,6,3.80%,7,4.50%,60,38.50%,10,6.40%,124,79.50%
01M315,The East Village Community School,2011-12,244,34,44,41,51,24,28,22,0,0,0,0,0,0,0,100,41.00%,144,59.00%,26,10.70%,30,12.30%,69,28.30%,18,7.40%,101,41.40%,61,25.00%,7,2.90%,88,36.10%
01M315,The East Village Community School,2012-13,263,36,44,41,41,51,21,29,0,0,0,0,0,0,0,115,43.70%,148,56.30%,25,9.50%,26,9.90%,69,26.20%,19,7.20%,124,47.10%,75,28.50%,7,2.70%,84,31.90%
01M315,The East Village Community School,2013-14,276,36,45,47,41,38,46,23,0,0,0,0,0,0,0,119,43.10%,157,56.90%,22,8.00%,33,12.00%,67,24.30%,18,6.50%,136,49.30%,79,28.60%,2,0.70%,89,32.20%
01M315,The East Village Community School,2014-15,289,36,45,48,45,44,28,43,0,0,0,0,0,0,0,131,45.30%,158,54.70%,29,10.00%,32,11.10%,64,22.10%,17,5.90%,147,50.90%,71,24.60%,4,1.40%,83,28.70%
01M315,The East Village Community School,2015-16,299,36,49,50,47,45,45,27,0,0,0,0,0,0,0,144,48.20%,155,51.80%,28,9.40%,26,8.70%,62,20.70%,19,6.40%,164,54.80%,58,19.40%,2,0.70%,63,21.10%
01M332,University Neighborhood Middle School,2011-12,115,0,0,0,0,0,0,0,42,31,42,0,0,0,0,43,37.40%,72,62.60%,2,1.70%,26,22.60%,86,74.80%,1,0.90%,0,0.00%,38,33.00%,22,19.10%,102,88.70%
01M332,University Neighborhood Middle School,2012-13,117,0,0,0,0,0,0,0,35,48,34,0,0,0,0,53,45.30%,64,54.70%,4,3.40%,25,21.40%,86,73.50%,2,1.70%,0,0.00%,33,28.20%,22,18.80%,109,93.20%
01M332,University Neighborhood Middle School,2013-14,100,0,0,0,0,0,0,0,22,33,45,0,0,0,0,46,46.00%,54,54.00%,5,5.00%,17,17.00%,75,75.00%,3,3.00%,0,0.00%,28,28.00%,24,24.00%,94,94.00%
01M332,University Neighborhood Middle School,2014-15,86,0,0,0,0,0,0,0,31,24,31,0,0,0,0,40,46.50%,46,53.50%,4,4.70%,18,20.90%,57,66.30%,3,3.50%,4,4.70%,35,40.70%,11,12.80%,75,87.20%
01M332,University Neighborhood Middle School,2015-16,110,0,0,0,0,0,0,0,39,35,36,0,0,0,0,49,44.50%,61,55.50%,6,5.50%,30,27.30%,69,62.70%,1,0.90%,4,3.60%,42,38.20%,16,14.50%,94,85.50%
01M345,Collaborative Academy of Science  Technology  & La,2011-12,245,0,0,0,0,0,0,0,83,84,78,0,0,0,0,108,44.10%,137,55.90%,32,13.10%,56,22.90%,151,61.60%,0,0.00%,6,2.40%,63,25.70%,14,5.70%,219,89.40%
01M345,Collaborative Academy of Science  Technology  & La,2012-13,233,0,0,0,0,0,0,0,70,78,85,0,0,0,0,114,48.90%,119,51.10%,31,13.30%,57,24.50%,135,57.90%,4,1.70%,6,2.60%,66,28.30%,22,9.40%,209,89.70%
01M345,Collaborative Academy of Science  Technology  & La,2013-14,166,0,0,0,0,0,0,0,26,69,71,0,0,0,0,83,50.00%,83,50.00%,20,12.00%,50,30.10%,84,50.60%,4,2.40%,8,4.80%,55,33.10%,11,6.60%,149,89.80%
01M345,Collaborative Academy of Science  Technology  & La,2014-15,132,0,0,0,0,0,0,0,35,29,68,0,0,0,0,66,50.00%,66,50.00%,21,15.90%,37,28.00%,66,50.00%,5,3.80%,3,2.30%,51,38.60%,9,6.80%,121,91.70%
01M345,Collaborative Academy of Science  Technology  & La,2015-16,105,0,0,0,0,0,0,0,34,40,31,0,0,0,0,46,43.80%,59,56.20%,14,13.30%,32,30.50%,55,52.40%,0,0.00%,4,3.80%,42,40.00%,8,7.60%,100,95.20%
01M361,The Children's Workshop School,2011-12,247,34,31,44,41,49,23,25,0,0,0,0,0,0,0,146,59.10%,101,40.90%,38,15.40%,32,13.00%,74,30.00%,3,1.20%,100,40.50%,43,17.40%,19,7.70%,120,48.60%
01M361,The Children's Workshop School,2012-13,258,36,30,40,38,40,50,24,0,0,0,0,0,0,0,147,57.00%,111,43.00%,39,15.10%,42,16.30%,79,30.60%,4,1.60%,94,36.40%,58,22.50%,15,5.80%,129,50.00%
01M361,The Children's Workshop School,2013-14,258,36,40,33,29,38,36,46,0,0,0,0,0,0,0,136,52.70%,122,47.30%,37,14.30%,31,12.00%,84,32.60%,4,1.60%,102,39.50%,66,25.60%,11,4.30%,124,48.10%
01M361,The Children's Workshop School,2014-15,255,34,44,40,34,27,41,35,0,0,0,0,0,0,0,130,51.00%,125,49.00%,29,11.40%,29,11.40%,92,36.10%,4,1.60%,101,39.60%,61,23.90%,13,5.10%,119,46.70%
01M361,The Children's Workshop School,2015-16,267,33,47,46,39,33,26,43,0,0,0,0,0,0,0,129,48.30%,138,51.70%,27,10.10%,28,10.50%,104,39.00%,6,2.20%,102,38.20%,58,21.70%,18,6.70%,126,47.20%
01M363,Neighborhood School,2011-12,315,19,43,54,59,56,41,43,0,0,0,0,0,0,0,160,50.80%,155,49.20%,41,13.00%,53,16.80%,90,28.60%,3,1.00%,128,40.60%,82,26.00%,9,2.90%,131,41.60%
01M363,Neighborhood School,2012-13,304,18,42,44,58,59,51,32,0,0,0,0,0,0,0,155,51.00%,149,49.00%,34,11.20%,41,13.50%,90,29.60%,7,2.30%,132,43.40%,89,29.30%,12,3.90%,143,47.00%
01M363,Neighborhood School,2013-14,300,18,38,44,39,51,57,53,0,0,0,0,0,0,0,142,47.30%,158,52.70%,29,9.70%,43,14.30%,92,30.70%,6,2.00%,130,43.30%,84,28.00%,10,3.30%,134,44.70%
01M363,Neighborhood School,2014-15,302,16,63,39,42,37,53,52,0,0,0,0,0,0,0,144,47.70%,158,52.30%,22,7.30%,45,14.90%,87,28.80%,4,1.30%,144,47.70%,78,25.80%,13,4.30%,121,40.10%
01M363,Neighborhood School,2015-16,313,16,58,62,38,44,39,56,0,0,0,0,0,0,0,143,45.70%,170,54.30%,17,5.40%,40,12.80%,107,34.20%,8,2.60%,141,45.00%,69,22.00%,11,3.50%,121,38.70%
01M364,Earth School,2011-12,336,18,55,53,47,54,53,56,0,0,0,0,0,0,0,162,48.20%,174,51.80%,20,6.00%,32,9.50%,118,35.10%,41,12.20%,125,37.20%,64,19.00%,13,3.90%,336,100.00%
01M364,Earth School,2012-13,322,18,53,45,53,50,52,51,0,0,0,0,0,0,0,154,47.80%,168,52.20%,32,9.90%,32,9.90%,111,34.50%,24,7.50%,123,38.20%,54,16.80%,12,3.70%,148,46.00%
01M364,Earth School,2013-14,318,18,54,50,46,51,50,49,0,0,0,0,0,0,0,157,49.40%,161,50.60%,32,10.10%,36,11.30%,101,31.80%,26,8.20%,123,38.70%,62,19.50%,12,3.80%,132,41.50%
01M364,Earth School,2014-15,321,18,56,51,48,44,55,49,0,0,0,0,0,0,0,160,49.80%,161,50.20%,24,7.50%,45,14.00%,109,34.00%,21,6.50%,122,38.00%,74,23.10%,15,4.70%,139,43.30%
01M364,Earth School,2015-16,340,36,50,53,48,49,48,56,0,0,0,0,0,0,0,163,47.90%,177,52.10%,25,7.40%,43,12.60%,120,35.30%,25,7.40%,127,37.40%,80,23.50%,19,5.60%,157,46.20%
01M378,School for Global Leaders,2011-12,271,0,0,0,0,0,0,0,93,101,77,0,0,0,0,135,49.80%,136,50.20%,21,7.70%,49,18.10%,188,69.40%,3,1.10%,10,3.70%,71,26.20%,31,11.40%,271,100.00%
01M378,School for Global Leaders,2012-13,250,0,0,0,0,0,0,0,70,85,95,0,0,0,0,113,45.20%,137,54.80%,25,10.00%,59,23.60%,155,62.00%,4,1.60%,7,2.80%,73,29.20%,34,13.60%,250,100.00%
01M378,School for Global Leaders,2013-14,244,0,0,0,0,0,0,0,79,72,93,0,0,0,0,112,45.90%,132,54.10%,32,13.10%,51,20.90%,152,62.30%,5,2.00%,4,1.60%,68,27.90%,39,16.00%,244,100.00%
01M378,School for Global Leaders,2014-15,235,0,0,0,0,0,0,0,81,76,78,0,0,0,0,105,44.70%,130,55.30%,38,16.20%,54,23.00%,132,56.20%,5,2.10%,6,2.60%,77,32.80%,32,13.60%,235,100.00%
01M378,School for Global Leaders,2015-16,264,0,0,0,0,0,0,0,100,84,80,0,0,0,0,117,44.30%,147,55.70%,40,15.20%,59,22.30%,154,58.30%,6,2.30%,5,1.90%,87,33.00%,20,7.60%,264,100.00%
01M448,University Neighborhood High School,2011-12,394,0,0,0,0,0,0,0,0,0,0,109,97,93,95,168,42.60%,226,57.40%,115,29.20%,89,22.60%,181,45.90%,0,0.00%,9,2.30%,86,21.80%,83,21.10%,343,87.10%
