´ŽèSchoolName,CONTENT_AREA,CATEGORY,TYPE,GRADE_SUBJECT,YEAR,ACCOUNTABLE,PARTICIPANT,REPORTABLE,LEVEL_NOT_DETERMINED,LEVEL_NOT_DETERMINED_PCT,BELOW_BASIC,BELOW_BASIC_PCT,BASIC,BASIC_PCT,PROFICIENT,PROFICIENT_PCT,ADVANCED,ADVANCED_PCT,MAP_INDEX,MEAN_SCALE_SCORE,MEDIAN_TERRANOVA
District Overall,Eng. Language Arts,Total,Total,Seventh Grade,2015,"1,557",,"1,536",21,*,648,42.2,414,27,382,24.9,92,6,,2499.3,--
District Overall,Eng. Language Arts,Total,Total,Eighth Grade,2015,"1,514",,"1,495",19,*,602,40.3,464,31,346,23.1,83,5.6,,2513.5,--
District Overall,Eng. Language Arts,Total,Total,Eleventh Grade,2015,63,,63,*,*,22,34.9,*,6.3,20,31.7,17,27,,0,--
District Overall,Mathematics,Total,Total,Third Grade,2015,"2,039",,"2,039",*,*,964,47.3,540,26.5,372,18.2,163,8,,2385.7,--
District Overall,Mathematics,Total,Total,Fourth Grade,2015,"1,858",,"1,858",*,*,807,43.4,685,36.9,272,14.6,94,5.1,,2425.6,--
District Overall,Mathematics,Total,Total,Fifth Grade,2015,"1,715",,"1,715",*,*,928,54.1,484,28.2,169,9.9,134,7.8,,2453.8,--
District Overall,Mathematics,Total,Total,Sixth Grade,2015,"1,539",,"1,539",*,*,912,59.3,410,26.6,131,8.5,86,5.6,,2451.9,--
District Overall,Mathematics,Total,Total,Seventh Grade,2015,"1,533",,"1,533",*,*,981,64,404,26.4,110,7.2,38,*,,2449.3,--
District Overall,Mathematics,Total,Total,Eighth Grade,2015,"1,403",,"1,401",*,*,"1,044",74.5,251,17.9,81,5.8,25,*,,2452.8,--
District Overall,Mathematics,Total,Total,Eleventh Grade,2015,59,,59,*,*,28,47.5,21,35.6,10,16.9,*,*,,0,--
District Overall,Science,Total,Total,Fifth Grade,2015,"1,717",,"1,717",*,*,591,34.4,781,45.5,217,12.6,128,7.5,,637.6,--
District Overall,Science,Total,Total,Eighth Grade,2015,"1,511",,"1,510",*,*,770,51,476,31.5,209,13.8,55,*,,665.9,--
District Overall,Science,Total,Total,Eleventh Grade,2015,60,,54,*,10,*,*,*,5.6,22,40.7,28,51.9,,0,--
ACAD OF ENVT SCI/MATH ELEM  (4990),Eng. Language Arts,Total,Total,Third Grade,2015,60,,60,*,*,29,48.3,18,30,12,20,*,*,,2374.2,--
ACAD OF ENVT SCI/MATH ELEM  (4990),Eng. Language Arts,Total,Total,Fourth Grade,2015,64,,64,*,*,36,56.3,12,18.8,*,14.1,*,10.9,,2403.9,--
ACAD OF ENVT SCI/MATH ELEM  (4990),Eng. Language Arts,Total,Total,Fifth Grade,2015,59,,59,*,*,32,54.2,21,35.6,*,10.2,*,*,,2428.4,--
ACAD OF ENVT SCI/MATH ELEM  (4990),Mathematics,Total,Total,Third Grade,2015,60,,60,*,*,34,56.7,19,31.7,*,11.7,*,*,,2364.2,--
ACAD OF ENVT SCI/MATH ELEM  (4990),Mathematics,Total,Total,Fourth Grade,2015,63,,63,*,*,38,60.3,19,30.2,*,9.5,*,*,,2389.4,--
ACAD OF ENVT SCI/MATH ELEM  (4990),Mathematics,Total,Total,Fifth Grade,2015,59,,59,*,*,50,84.7,*,15.3,*,*,*,*,,2397.9,--
ACAD OF ENVT SCI/MATH ELEM  (4990),Science,Total,Total,Fifth Grade,2015,59,,59,*,*,31,52.5,28,47.5,*,*,*,*,,620.7,--
ACAD OF ENVT SCI/MATH MIDDLE  (3250),Eng. Language Arts,Total,Total,Sixth Grade,2015,85,,85,*,*,50,58.8,21,24.7,13,15.3,*,*,,2447,--
ACAD OF ENVT SCI/MATH MIDDLE  (3250),Eng. Language Arts,Total,Total,Seventh Grade,2015,90,,90,*,*,40,44.4,29,32.2,19,21.1,*,*,,2488.1,--
ACAD OF ENVT SCI/MATH MIDDLE  (3250),Eng. Language Arts,Total,Total,Eighth Grade,2015,74,,74,*,*,47,63.5,24,32.4,*,*,*,*,,2466.7,--
ACAD OF ENVT SCI/MATH MIDDLE  (3250),Mathematics,Total,Total,Sixth Grade,2015,85,,85,*,*,54,63.5,27,31.8,*,*,*,*,,2430.6,--
ACAD OF ENVT SCI/MATH MIDDLE  (3250),Mathematics,Total,Total,Seventh Grade,2015,90,,90,*,*,49,54.4,27,30,13,14.4,*,*,,2469.3,--
ACAD OF ENVT SCI/MATH MIDDLE  (3250),Mathematics,Total,Total,Eighth Grade,2015,74,,74,*,*,68,91.9,*,6.8,*,*,*,*,,2430.3,--
ACAD OF ENVT SCI/MATH MIDDLE  (3250),Science,Total,Total,Eighth Grade,2015,74,,74,*,*,48,64.9,24,32.4,*,*,*,*,,657.4,--
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Third Grade,2015,48,,48,*,*,32,66.7,*,18.8,*,6.3,*,8.3,,2345.7,--
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Fourth Grade,2015,40,,40,*,*,28,70,*,10,*,17.5,*,*,,2387.6,--
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Fifth Grade,2015,40,,40,*,*,24,60,11,27.5,*,10,*,*,,2417.2,--
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Sixth Grade,2015,21,,21,*,*,15,71.4,*,23.8,*,*,*,*,,2411.7,--
ADAMS ELEM.  (4000),Mathematics,Total,Total,Third Grade,2015,48,,48,*,*,27,56.3,13,27.1,*,16.7,*,*,,2357.7,--
ADAMS ELEM.  (4000),Mathematics,Total,Total,Fourth Grade,2015,40,,40,*,*,24,60,12,30,*,7.5,*,*,,2397.9,--
ADAMS ELEM.  (4000),Mathematics,Total,Total,Fifth Grade,2015,40,,40,*,*,25,62.5,12,30,*,7.5,*,*,,2432.6,--
ADAMS ELEM.  (4000),Mathematics,Total,Total,Sixth Grade,2015,21,,21,*,*,19,90.5,*,9.5,*,*,*,*,,2404,--
ADAMS ELEM.  (4000),Science,Total,Total,Fifth Grade,2015,40,,40,*,*,21,52.5,16,40,*,5,*,*,,621,--
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Third Grade,2015,59,,59,*,*,26,44.1,19,32.2,*,6.8,10,16.9,,2382.6,--
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Fourth Grade,2015,59,,59,*,*,29,49.2,15,25.4,13,22,*,*,,2415.5,--
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Fifth Grade,2015,54,,54,*,*,19,35.2,20,37,11,20.4,*,7.4,,2466.8,--
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Third Grade,2015,59,,59,*,*,29,49.2,12,20.3,13,22,*,8.5,,2387.7,--
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Fourth Grade,2015,59,,59,*,*,15,25.4,34,57.6,10,16.9,*,*,,2437.6,--
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Fifth Grade,2015,54,,54,*,*,23,42.6,20,37,*,13,*,7.4,,2465.4,--
AMES VISUAL/PERF. ARTS  (4250),Science,Total,Total,Fifth Grade,2015,54,,54,*,*,20,37,28,51.9,*,9.3,*,*,,635.5,--
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Third Grade,2015,45,,45,*,*,31,68.9,*,17.8,*,11.1,*,*,,2329.9,--
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Fourth Grade,2015,40,,40,*,*,28,70,*,10,*,12.5,*,7.5,,2383.8,--
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Fifth Grade,2015,37,,37,*,*,16,43.2,*,21.6,12,32.4,*,*,,2449.1,--
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Sixth Grade,2015,36,,36,*,*,26,72.2,*,25,*,*,*,*,,2424,--
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Third Grade,2015,45,,45,*,*,34,75.6,10,22.2,*,*,*,*,,2327.7,--
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Fourth Grade,2015,39,,39,*,*,24,61.5,13,33.3,*,5.1,*,*,,2386.9,--
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Fifth Grade,2015,36,,36,*,*,20,55.6,12,33.3,*,11.1,*,*,,2447,--
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Sixth Grade,2015,36,,36,*,*,29,80.6,*,19.4,*,*,*,*,,2400.4,--
ASHLAND ELEM. AND BR.  (4060),Science,Total,Total,Fifth Grade,2015,37,,37,*,*,15,40.5,18,48.6,*,8.1,*,*,,632.2,--
BEAUMONT CTE HIGH SCHOOL  (1250),Science,Total,Total,Eleventh Grade,2015,*,,*,*,*,*,*,*,*,*,*,*,*,,0,--
BRYAN HILL ELEM.  (4180),Eng. Language Arts,Total,Total,Third Grade,2015,25,,25,*,*,15,60,*,28,*,*,*,8,,2340.3,--
BRYAN HILL ELEM.  (4180),Eng. Language Arts,Total,Total,Fourth Grade,2015,26,,26,*,*,11,42.3,*,34.6,*,19.2,*,*,,2400.7,--
BRYAN HILL ELEM.  (4180),Eng. Language Arts,Total,Total,Fifth Grade,2015,23,,23,*,*,13,56.5,*,21.7,*,17.4,*,*,,2440.1,--
BRYAN HILL ELEM.  (4180),Mathematics,Total,Total,Third Grade,2015,25,,25,*,*,17,68,*,12,*,20,*,*,,2347,--
BRYAN HILL ELEM.  (4180),Mathematics,Total,Total,Fourth Grade,2015,26,,26,*,*,13,50,11,42.3,*,7.7,*,*,,2403.7,--
BRYAN HILL ELEM.  (4180),Mathematics,Total,Total,Fifth Grade,2015,23,,23,*,*,13,56.5,10,43.5,*,*,*,*,,2430.5,--
BRYAN HILL ELEM.  (4180),Science,Total,Total,Fifth Grade,2015,23,,23,*,*,*,30.4,13,56.5,*,13,*,*,,639.9,--
BUDER ELEM.  (4200),Eng. Language Arts,Total,Total,Third Grade,2015,47,,47,*,*,12,25.5,15,31.9,13,27.7,*,14.9,,2415.4,--
BUDER ELEM.  (4200),Eng. Language Arts,Total,Total,Fourth Grade,2015,57,,57,*,*,32,56.1,*,14,11,19.3,*,10.5,,2415.1,--
BUDER ELEM.  (4200),Eng. Language Arts,Total,Total,Fifth Grade,2015,28,,28,*,*,11,39.3,*,25,*,32.1,*,*,,2456.7,--
BUDER ELEM.  (4200),Mathematics,Total,Total,Third Grade,2015,47,,47,*,*,12,25.5,17,36.2,14,29.8,*,8.5,,2414.2,--
BUDER ELEM.  (4200),Mathematics,Total,Total,Fourth Grade,2015,58,,58,*,*,14,24.1,20,34.5,19,32.8,*,8.6,,2464.1,--
BUDER ELEM.  (4200),Mathematics,Total,Total,Fifth Grade,2015,28,,28,*,*,16,57.1,*,25,*,7.1,*,10.7,,2460,--
BUDER ELEM.  (4200),Science,Total,Total,Fifth Grade,2015,28,,28,*,*,12,42.9,10,35.7,*,14.3,*,7.1,,642,--
BUSCH MS CHARACTER & ATHLETICS  (3050),Eng. Language Arts,Total,Total,Sixth Grade,2015,109,,109,*,*,38,34.9,32,29.4,29,26.6,10,9.2,,2491.6,--
BUSCH MS CHARACTER & ATHLETICS  (3050),Eng. Language Arts,Total,Total,Seventh Grade,2015,110,,110,*,*,24,21.8,25,22.7,49,44.5,12,10.9,,2543.7,--
BUSCH MS CHARACTER & ATHLETICS  (3050),Eng. Language Arts,Total,Total,Eighth Grade,2015,119,,119,*,*,12,10.1,49,41.2,49,41.2,*,7.6,,2563.9,--
BUSCH MS CHARACTER & ATHLETICS  (3050),Mathematics,Total,Total,Sixth Grade,2015,109,,109,*,*,61,56,36,33,*,6.4,*,*,,2451,--
BUSCH MS CHARACTER & ATHLETICS  (3050),Mathematics,Total,Total,Seventh Grade,2015,110,,110,*,*,44,40,44,40,12,10.9,10,9.1,,2497.7,--
BUSCH MS CHARACTER & ATHLETICS  (3050),Mathematics,Total,Total,Eighth Grade,2015,89,,89,*,*,58,65.2,23,25.8,*,6.7,*,*,,2480.2,--
BUSCH MS CHARACTER & ATHLETICS  (3050),Science,Total,Total,Eighth Grade,2015,119,,119,*,*,30,25.2,54,45.4,27,22.7,*,6.7,,685.8,--
CARNAHAN SCH. OF THE FUTURE  (1500),Eng. Language Arts,Total,Total,Eleventh Grade,2015,*,,*,*,*,*,*,*,*,*,*,*,*,,0,--
CARNAHAN SCH. OF THE FUTURE  (1500),Mathematics,Total,Total,Eleventh Grade,2015,*,,*,*,*,*,*,*,*,*,*,*,*,,0,--
CARNAHAN SCH. OF THE FUTURE  (1500),Science,Total,Total,Eleventh Grade,2015,*,,*,*,*,*,*,*,33.3,*,33.3,*,33.3,,0,--
CARR LANE VPA MIDDLE  (3070),Eng. Language Arts,Total,Total,Sixth Grade,2015,154,,154,*,*,78,50.6,41,26.6,31,20.1,*,*,,2453.5,--
CARR LANE VPA MIDDLE  (3070),Eng. Language Arts,Total,Total,Seventh Grade,2015,187,,187,*,*,77,41.2,65,34.8,39,20.9,*,*,,2497,--
CARR LANE VPA MIDDLE  (3070),Eng. Language Arts,Total,Total,Eighth Grade,2015,188,,188,*,*,74,39.4,67,35.6,41,21.8,*,*,,2510.2,--
CARR LANE VPA MIDDLE  (3070),Mathematics,Total,Total,Sixth Grade,2015,152,,152,*,*,88,57.9,39,25.7,20,13.2,*,*,,2452.5,--
CARR LANE VPA MIDDLE  (3070),Mathematics,Total,Total,Seventh Grade,2015,186,,186,*,*,132,71,45,24.2,*,*,*,*,,2441.4,--
CARR LANE VPA MIDDLE  (3070),Mathematics,Total,Total,Eighth Grade,2015,186,,186,*,*,142,76.3,36,19.4,*,*,*,*,,2454.2,--
CARR LANE VPA MIDDLE  (3070),Science,Total,Total,Eighth Grade,2015,189,,189,*,*,93,49.2,75,39.7,19,10.1,*,*,,665.5,--
CLAY ELEM.  (4360),Eng. Language Arts,Total,Total,Third Grade,2015,30,,30,*,*,18,60,*,16.7,*,23.3,*,*,,2354.6,--
CLAY ELEM.  (4360),Eng. Language Arts,Total,Total,Fourth Grade,2015,17,,17,*,*,11,64.7,*,17.6,*,11.8,*,5.9,,2391.4,--
CLAY ELEM.  (4360),Eng. Language Arts,Total,Total,Fifth Grade,2015,26,,26,*,*,14,53.8,*,34.6,*,11.5,*,*,,2439.8,--
CLAY ELEM.  (4360),Mathematics,Total,Total,Third Grade,2015,30,,30,*,*,18,60,11,36.7,*,*,*,*,,2342.6,--
CLAY ELEM.  (4360),Mathematics,Total,Total,Fourth Grade,2015,17,,17,*,*,11,64.7,*,35.3,*,*,*,*,,2389.2,--
CLAY ELEM.  (4360),Mathematics,Total,Total,Fifth Grade,2015,26,,26,*,*,20,76.9,*,23.1,*,*,*,*,,2407.8,--
CLAY ELEM.  (4360),Science,Total,Total,Fifth Grade,2015,26,,26,*,*,11,42.3,12,46.2,*,11.5,*,*,,627.6,--
COLE ELEM.  (4400),Eng. Language Arts,Total,Total,Third Grade,2015,40,,40,*,*,23,57.5,*,22.5,*,7.5,*,12.5,,2358.1,--
COLE ELEM.  (4400),Eng. Language Arts,Total,Total,Fourth Grade,2015,30,,30,*,*,17,56.7,*,23.3,*,13.3,*,6.7,,2396.2,--
COLE ELEM.  (4400),Eng. Language Arts,Total,Total,Fifth Grade,2015,29,,29,*,*,14,48.3,*,17.2,*,27.6,*,6.9,,2443.9,--
COLE ELEM.  (4400),Eng. Language Arts,Total,Total,Sixth Grade,2015,28,,28,*,*,11,39.3,13,46.4,*,7.1,*,7.1,,2479.5,--
COLE ELEM.  (4400),Eng. Language Arts,Total,Total,Seventh Grade,2015,47,,47,*,*,18,38.3,13,27.7,15,31.9,*,*,,2506.2,--
COLE ELEM.  (4400),Eng. Language Arts,Total,Total,Eighth Grade,2015,38,,38,*,*,*,18.4,19,50,*,23.7,*,7.9,,2550.6,--
COLE ELEM.  (4400),Mathematics,Total,Total,Third Grade,2015,40,,40,*,*,22,55,11,27.5,*,17.5,*,*,,2362.6,--
COLE ELEM.  (4400),Mathematics,Total,Total,Fourth Grade,2015,30,,30,*,*,17,56.7,11,36.7,*,6.7,*,*,,2408,--
COLE ELEM.  (4400),Mathematics,Total,Total,Fifth Grade,2015,29,,29,*,*,19,65.5,*,20.7,*,13.8,*,*,,2425.4,--
COLE ELEM.  (4400),Mathematics,Total,Total,Sixth Grade,2015,28,,28,*,*,19,67.9,*,17.9,*,14.3,*,*,,2460.2,--
COLE ELEM.  (4400),Mathematics,Total,Total,Seventh Grade,2015,47,,47,*,*,33,70.2,14,29.8,*,*,*,*,,2430.2,--
COLE ELEM.  (4400),Mathematics,Total,Total,Eighth Grade,2015,38,,38,*,*,27,71.1,*,21.1,*,5.3,*,*,,2468.2,--
COLE ELEM.  (4400),Science,Total,Total,Fifth Grade,2015,29,,29,*,*,14,48.3,10,34.5,*,10.3,*,6.9,,626.5,--
COLE ELEM.  (4400),Science,Total,Total,Eighth Grade,2015,38,,38,*,*,20,52.6,11,28.9,*,15.8,*,*,,662.7,--
COLUMBIA ELEM. COMM. ED. CTR.  (4420),Eng. Language Arts,Total,Total,Third Grade,2015,31,,31,*,*,15,48.4,*,25.8,*,16.1,*,9.7,,2370.1,--
COLUMBIA ELEM. COMM. ED. CTR.  (4420),Eng. Language Arts,Total,Total,Fourth Grade,2015,20,,20,*,*,17,85,*,15,*,*,*,*,,2348.7,--
COLUMBIA ELEM. COMM. ED. CTR.  (4420),Eng. Language Arts,Total,Total,Fifth Grade,2015,23,,23,*,*,19,82.6,*,17.4,*,*,*,*,,2381,--
COLUMBIA ELEM. COMM. ED. CTR.  (4420),Eng. Language Arts,Total,Total,Sixth Grade,2015,22,,22,*,*,*,40.9,*,40.9,*,*,*,13.6,,2472.4,--
COLUMBIA ELEM. COMM. ED. CTR.  (4420),Mathematics,Total,Total,Third Grade,2015,31,,31,*,*,21,67.7,*,16.1,*,12.9,*,*,,2366,--
COLUMBIA ELEM. COMM. ED. CTR.  (4420),Mathematics,Total,Total,Fourth Grade,2015,20,,20,*,*,16,80,*,20,*,*,*,*,,2358.5,--
COLUMBIA ELEM. COMM. ED. CTR.  (4420),Mathematics,Total,Total,Fifth Grade,2015,23,,23,*,*,22,*,*,*,*,*,*,*,,2382.9,--
COLUMBIA ELEM. COMM. ED. CTR.  (4420),Mathematics,Total,Total,Sixth Grade,2015,22,,22,*,*,13,59.1,*,36.4,*,*,*,*,,2429.2,--
COLUMBIA ELEM. COMM. ED. CTR.  (4420),Science,Total,Total,Fifth Grade,2015,23,,23,*,*,17,73.9,*,26.1,*,*,*,*,,607.5,--
COMPTON-DREW ILC MIDDLE  (3390),Eng. Language Arts,Total,Total,Sixth Grade,2015,149,,149,*,*,63,42.3,46,30.9,29,19.5,11,7.4,,2477.8,--
COMPTON-DREW ILC MIDDLE  (3390),Eng. Language Arts,Total,Total,Seventh Grade,2015,168,,168,*,*,50,29.8,55,32.7,51,30.4,12,7.1,,2517.6,--
COMPTON-DREW ILC MIDDLE  (3390),Eng. Language Arts,Total,Total,Eighth Grade,2015,175,,175,*,*,32,18.3,53,30.3,76,43.4,14,8,,2559.8,--
COMPTON-DREW ILC MIDDLE  (3390),Mathematics,Total,Total,Sixth Grade,2015,149,,149,*,*,88,59.1,49,32.9,11,7.4,*,*,,2459.5,--
COMPTON-DREW ILC MIDDLE  (3390),Mathematics,Total,Total,Seventh Grade,2015,168,,168,*,*,84,50,64,38.1,15,8.9,*,*,,2477.2,--
COMPTON-DREW ILC MIDDLE  (3390),Mathematics,Total,Total,Eighth Grade,2015,146,,146,*,*,96,65.8,37,25.3,12,8.2,*,*,,2479.6,--
COMPTON-DREW ILC MIDDLE  (3390),Science,Total,Total,Eighth Grade,2015,175,,175,*,*,53,30.3,75,42.9,39,22.3,*,*,,681.3,--
COTE BRILLIANTE ELEM.  (4440),Eng. Language Arts,Total,Total,Third Grade,2015,33,,33,*,*,23,69.7,*,27.3,*,*,*,*,,2334.1,--
COTE BRILLIANTE ELEM.  (4440),Eng. Language Arts,Total,Total,Fourth Grade,2015,27,,27,*,*,18,66.7,*,18.5,*,14.8,*,*,,2385.8,--
COTE BRILLIANTE ELEM.  (4440),Eng. Language Arts,Total,Total,Fifth Grade,2015,24,,24,*,*,17,70.8,*,20.8,*,8.3,*,*,,2418,--
COTE BRILLIANTE ELEM.  (4440),Eng. Language Arts,Total,Total,Sixth Grade,2015,19,,19,*,*,*,26.3,*,21.1,*,36.8,*,15.8,,2521.2,--
COTE BRILLIANTE ELEM.  (4440),Mathematics,Total,Total,Third Grade,2015,33,,33,*,*,20,60.6,12,36.4,*,*,*,*,,2354.6,--
COTE BRILLIANTE ELEM.  (4440),Mathematics,Total,Total,Fourth Grade,2015,27,,27,*,*,15,55.6,*,18.5,*,25.9,*,*,,2405.9,--
COTE BRILLIANTE ELEM.  (4440),Mathematics,Total,Total,Fifth Grade,2015,24,,24,*,*,16,66.7,*,33.3,*,*,*,*,,2424.5,--
COTE BRILLIANTE ELEM.  (4440),Mathematics,Total,Total,Sixth Grade,2015,19,,19,*,*,*,31.6,*,31.6,*,26.3,*,10.5,,2499.6,--
COTE BRILLIANTE ELEM.  (4440),Science,Total,Total,Fifth Grade,2015,24,,24,*,*,*,33.3,15,62.5,*,*,*,*,,633,--
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),Eng. Language Arts,Total,Total,Third Grade,2015,56,,56,*,*,19,33.9,19,33.9,*,16.1,*,16.1,,2401.2,--
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),Eng. Language Arts,Total,Total,Fourth Grade,2015,65,,65,*,*,19,29.2,16,24.6,18,27.7,12,18.5,,2457.5,--
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),Eng. Language Arts,Total,Total,Fifth Grade,2015,70,,70,*,*,13,18.6,19,27.1,28,40,10,14.3,,2508.9,--
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),Mathematics,Total,Total,Third Grade,2015,56,,56,*,*,18,32.1,24,42.9,*,12.5,*,12.5,,2409.1,--
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),Mathematics,Total,Total,Fourth Grade,2015,65,,65,*,*,*,13.8,34,52.3,18,27.7,*,6.2,,2463.2,--
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),Mathematics,Total,Total,Fifth Grade,2015,70,,70,*,*,18,25.7,32,45.7,10,14.3,10,14.3,,2491.6,--
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),Science,Total,Total,Fifth Grade,2015,70,,70,*,*,*,7.1,39,55.7,15,21.4,11,15.7,,663.9,--
DUNBAR AND BR.  (4480),Eng. Language Arts,Total,Total,Third Grade,2015,32,,32,*,*,16,50,10,31.3,*,9.4,*,9.4,,2354.2,--
DUNBAR AND BR.  (4480),Eng. Language Arts,Total,Total,Fourth Grade,2015,28,,28,*,*,*,32.1,*,28.6,10,35.7,*,*,,2420.3,--
DUNBAR AND BR.  (4480),Eng. Language Arts,Total,Total,Fifth Grade,2015,25,,25,*,*,16,64,*,12,*,24,*,*,,2432.6,--
DUNBAR AND BR.  (4480),Eng. Language Arts,Total,Total,Sixth Grade,2015,10,,10,*,*,*,70,*,30,*,*,*,*,,2407.7,--
DUNBAR AND BR.  (4480),Mathematics,Total,Total,Third Grade,2015,32,,32,*,*,14,43.8,11,34.4,*,18.8,*,*,,2382.8,--
DUNBAR AND BR.  (4480),Mathematics,Total,Total,Fourth Grade,2015,28,,28,*,*,*,25,15,53.6,*,21.4,*,*,,2426,--
DUNBAR AND BR.  (4480),Mathematics,Total,Total,Fifth Grade,2015,25,,25,*,*,14,56,*,28,*,12,*,*,,2439.2,--
DUNBAR AND BR.  (4480),Mathematics,Total,Total,Sixth Grade,2015,10,,10,*,*,*,80,*,10,*,10,*,*,,2408.1,--
DUNBAR AND BR.  (4480),Science,Total,Total,Fifth Grade,2015,25,,25,*,*,11,44,12,48,*,8,*,*,,624,--
