"","Name","Year","Weapon_Rate"
"151","CARR LANE VPA MIDDLE",2014,0
"152","CARR LANE VPA MIDDLE",2015,0.2
"153","CENTRAL VISUAL/PERF. ARTS HIGH",2008,0.3
"154","CENTRAL VISUAL/PERF. ARTS HIGH",2009,0.5
"155","CENTRAL VISUAL/PERF. ARTS HIGH",2010,0.1
"156","CENTRAL VISUAL/PERF. ARTS HIGH",2011,0
"157","CENTRAL VISUAL/PERF. ARTS HIGH",2012,0.5
"158","CENTRAL VISUAL/PERF. ARTS HIGH",2013,0.5
"159","CENTRAL VISUAL/PERF. ARTS HIGH",2014,0
"160","CENTRAL VISUAL/PERF. ARTS HIGH",2015,0
"161","CLARK ELEM.",2008,0
"162","CLARK ELEM.",2009,1
"163","CLARK ELEM.",2010,NA
"164","CLARK ELEM.",2011,NA
"165","CLARK ELEM.",2012,NA
"166","CLARK ELEM.",2013,NA
"167","CLARK ELEM.",2014,NA
"168","CLARK ELEM.",2015,NA
"169","CLAY ELEM.",2008,0
"170","CLAY ELEM.",2009,0
"171","CLAY ELEM.",2010,0
"172","CLAY ELEM.",2011,0
"173","CLAY ELEM.",2012,0
"174","CLAY ELEM.",2013,0
"175","CLAY ELEM.",2014,0
"176","CLAY ELEM.",2015,0
"177","CLEVELAND NJROTC ACADEMY",2008,0.9
"178","CLEVELAND NJROTC ACADEMY",2009,0
"179","CLEVELAND NJROTC ACADEMY",2010,0.4
"180","CLEVELAND NJROTC ACADEMY",2011,0
"181","CLEVELAND NJROTC ACADEMY",2012,0.4
"182","CLEVELAND NJROTC ACADEMY",2013,0.7
"183","CLEVELAND NJROTC ACADEMY",2014,0
"184","CLEVELAND NJROTC ACADEMY",2015,0
"185","COLE ELEM.",2008,0
"186","COLE ELEM.",2009,0
"187","COLE ELEM.",2010,0
"188","COLE ELEM.",2011,0
"189","COLE ELEM.",2012,0
"190","COLE ELEM.",2013,0
"191","COLE ELEM.",2014,0.3
"192","COLE ELEM.",2015,0
"193","COLLEGIATE SCHOOL OF MED/BIO",2008,NA
"194","COLLEGIATE SCHOOL OF MED/BIO",2009,NA
"195","COLLEGIATE SCHOOL OF MED/BIO",2010,NA
"196","COLLEGIATE SCHOOL OF MED/BIO",2011,NA
"197","COLLEGIATE SCHOOL OF MED/BIO",2012,NA
"198","COLLEGIATE SCHOOL OF MED/BIO",2013,NA
"199","COLLEGIATE SCHOOL OF MED/BIO",2014,0
"200","COLLEGIATE SCHOOL OF MED/BIO",2015,0
"201","COLUMBIA ELEM. COMM. ED. CTR.",2008,0
"202","COLUMBIA ELEM. COMM. ED. CTR.",2009,0
"203","COLUMBIA ELEM. COMM. ED. CTR.",2010,0
"204","COLUMBIA ELEM. COMM. ED. CTR.",2011,0
"205","COLUMBIA ELEM. COMM. ED. CTR.",2012,0
"206","COLUMBIA ELEM. COMM. ED. CTR.",2013,0.5
"207","COLUMBIA ELEM. COMM. ED. CTR.",2014,0
"208","COLUMBIA ELEM. COMM. ED. CTR.",2015,0
"209","COMMUNITY ACCESS JOB TRAINING",2008,0
"210","COMMUNITY ACCESS JOB TRAINING",2009,0
"211","COMMUNITY ACCESS JOB TRAINING",2010,0
"212","COMMUNITY ACCESS JOB TRAINING",2011,0
"213","COMMUNITY ACCESS JOB TRAINING",2012,0
"214","COMMUNITY ACCESS JOB TRAINING",2013,0
"215","COMMUNITY ACCESS JOB TRAINING",2014,0
"216","COMMUNITY ACCESS JOB TRAINING",2015,0
"217","COMPTON-DREW ILC MIDDLE",2008,0.9
"218","COMPTON-DREW ILC MIDDLE",2009,0
"219","COMPTON-DREW ILC MIDDLE",2010,0.2
"220","COMPTON-DREW ILC MIDDLE",2011,0.6
"221","COMPTON-DREW ILC MIDDLE",2012,0.4
"222","COMPTON-DREW ILC MIDDLE",2013,0.4
"223","COMPTON-DREW ILC MIDDLE",2014,0.2
"224","COMPTON-DREW ILC MIDDLE",2015,0.2
"225","COTE BRILLIANTE ELEM.",2008,0.4
"226","COTE BRILLIANTE ELEM.",2009,0.5
"227","COTE BRILLIANTE ELEM.",2010,1.5
"228","COTE BRILLIANTE ELEM.",2011,0.6
"229","COTE BRILLIANTE ELEM.",2012,0
"230","COTE BRILLIANTE ELEM.",2013,0
"231","COTE BRILLIANTE ELEM.",2014,0
"232","COTE BRILLIANTE ELEM.",2015,0.9
"233","DEWEY SCH.-INTERNAT'L. STUDIES",2008,0
"234","DEWEY SCH.-INTERNAT'L. STUDIES",2009,0
"235","DEWEY SCH.-INTERNAT'L. STUDIES",2010,0
"236","DEWEY SCH.-INTERNAT'L. STUDIES",2011,0
"237","DEWEY SCH.-INTERNAT'L. STUDIES",2012,0.2
"238","DEWEY SCH.-INTERNAT'L. STUDIES",2013,0
"239","DEWEY SCH.-INTERNAT'L. STUDIES",2014,0
"240","DEWEY SCH.-INTERNAT'L. STUDIES",2015,0
"241","DUNBAR AND BR.",2008,0.4
"242","DUNBAR AND BR.",2009,0.4
"243","DUNBAR AND BR.",2010,1
"244","DUNBAR AND BR.",2011,0
"245","DUNBAR AND BR.",2012,0
"246","DUNBAR AND BR.",2013,0.5
"247","DUNBAR AND BR.",2014,0
"248","DUNBAR AND BR.",2015,0
"249","EARL NANCE, SR. ELEM.",2008,0.3
"250","EARL NANCE, SR. ELEM.",2009,0
"251","EARL NANCE, SR. ELEM.",2010,0.6
"252","EARL NANCE, SR. ELEM.",2011,0
"253","EARL NANCE, SR. ELEM.",2012,0
"254","EARL NANCE, SR. ELEM.",2013,0
"255","EARL NANCE, SR. ELEM.",2014,0.3
"256","EARL NANCE, SR. ELEM.",2015,0.6
"257","ELIAS MICHAEL ELEM.",2008,0
"258","ELIAS MICHAEL ELEM.",2009,0
"259","ELIAS MICHAEL ELEM.",2010,0
"260","ELIAS MICHAEL ELEM.",2011,0
"261","ELIAS MICHAEL ELEM.",2012,0
"262","ELIAS MICHAEL ELEM.",2013,0
"263","ELIAS MICHAEL ELEM.",2014,0
"264","ELIAS MICHAEL ELEM.",2015,0
"265","EXTERNAL LOCATION",2008,0
"266","EXTERNAL LOCATION",2009,0
"267","EXTERNAL LOCATION",2010,0
"268","EXTERNAL LOCATION",2011,0
"269","EXTERNAL LOCATION",2012,0
"270","EXTERNAL LOCATION",2013,0
"271","EXTERNAL LOCATION",2014,0
"272","EXTERNAL LOCATION",2015,0
"273","FANNING MIDDLE COMMUNITY ED.",2008,1
"274","FANNING MIDDLE COMMUNITY ED.",2009,0.6
"275","FANNING MIDDLE COMMUNITY ED.",2010,1.3
"276","FANNING MIDDLE COMMUNITY ED.",2011,0.8
"277","FANNING MIDDLE COMMUNITY ED.",2012,0.5
"278","FANNING MIDDLE COMMUNITY ED.",2013,0.6
"279","FANNING MIDDLE COMMUNITY ED.",2014,0
"280","FANNING MIDDLE COMMUNITY ED.",2015,0.3
"281","FARRAGUT ELEM.",2008,0
"282","FARRAGUT ELEM.",2009,1.1
"283","FARRAGUT ELEM.",2010,0.6
"284","FARRAGUT ELEM.",2011,0
"285","FARRAGUT ELEM.",2012,0
"286","FARRAGUT ELEM.",2013,0
"287","FARRAGUT ELEM.",2014,0
"288","FARRAGUT ELEM.",2015,0
"289","FORD-FORD BR. ELEM. COMM. ED.",2008,0.3
"290","FORD-FORD BR. ELEM. COMM. ED.",2009,0
"291","FORD-FORD BR. ELEM. COMM. ED.",2010,0
"292","FORD-FORD BR. ELEM. COMM. ED.",2011,0
"293","FORD-FORD BR. ELEM. COMM. ED.",2012,0
"294","FORD-FORD BR. ELEM. COMM. ED.",2013,0
"295","FORD-FORD BR. ELEM. COMM. ED.",2014,0.4
"296","FORD-FORD BR. ELEM. COMM. ED.",2015,0
"297","FROEBEL ELEM.",2008,0
"298","FROEBEL ELEM.",2009,0
"299","FROEBEL ELEM.",2010,0
"300","FROEBEL ELEM.",2011,0
"301","FROEBEL ELEM.",2012,0
"302","FROEBEL ELEM.",2013,0
"303","FROEBEL ELEM.",2014,0
"304","FROEBEL ELEM.",2015,0
"305","GALLAUDET SCH. FOR DEAF ELEM.",2008,0
"306","GALLAUDET SCH. FOR DEAF ELEM.",2009,0
"307","GALLAUDET SCH. FOR DEAF ELEM.",2010,2.1
"308","GALLAUDET SCH. FOR DEAF ELEM.",2011,0
"309","GALLAUDET SCH. FOR DEAF ELEM.",2012,NA
"310","GALLAUDET SCH. FOR DEAF ELEM.",2013,NA
"311","GALLAUDET SCH. FOR DEAF ELEM.",2014,NA
"312","GALLAUDET SCH. FOR DEAF ELEM.",2015,NA
"313","GATEWAY ELEM.",2008,0
"314","GATEWAY ELEM.",2009,0.5
"315","GATEWAY ELEM.",2010,0.6
"316","GATEWAY ELEM.",2011,0.9
"317","GATEWAY ELEM.",2012,0.8
"318","GATEWAY ELEM.",2013,0
"319","GATEWAY ELEM.",2014,0
"320","GATEWAY ELEM.",2015,0
"321","GATEWAY HIGH",2008,0.1
"322","GATEWAY HIGH",2009,0
"323","GATEWAY HIGH",2010,1
"324","GATEWAY HIGH",2011,0.3
"325","GATEWAY HIGH",2012,0.3
"326","GATEWAY HIGH",2013,0.3
"327","GATEWAY HIGH",2014,0
"328","GATEWAY HIGH",2015,0.2
"329","GATEWAY MIDDLE",2008,1.1
"330","GATEWAY MIDDLE",2009,0
"331","GATEWAY MIDDLE",2010,1.1
"332","GATEWAY MIDDLE",2011,0
"333","GATEWAY MIDDLE",2012,0
"334","GATEWAY MIDDLE",2013,0.5
"335","GATEWAY MIDDLE",2014,0.5
"336","GATEWAY MIDDLE",2015,0.4
"337","GRISCOM JUVENILE DETENTION CTR",2008,0
"338","GRISCOM JUVENILE DETENTION CTR",2009,0
"339","GRISCOM JUVENILE DETENTION CTR",2010,0
"340","GRISCOM JUVENILE DETENTION CTR",2011,0
"341","GRISCOM JUVENILE DETENTION CTR",2012,NA
"342","GRISCOM JUVENILE DETENTION CTR",2013,NA
"343","GRISCOM JUVENILE DETENTION CTR",2014,NA
"344","GRISCOM JUVENILE DETENTION CTR",2015,0
"345","GUNDLACH ELEM.",2008,0.9
"346","GUNDLACH ELEM.",2009,NA
"347","GUNDLACH ELEM.",2010,NA
"348","GUNDLACH ELEM.",2011,NA
"349","GUNDLACH ELEM.",2012,NA
"350","GUNDLACH ELEM.",2013,NA
"351","GUNDLACH ELEM.",2014,NA
"352","GUNDLACH ELEM.",2015,NA
"353","HAMILTON ELEM. COMMUNITY ED.",2008,1.4
"354","HAMILTON ELEM. COMMUNITY ED.",2009,0
"355","HAMILTON ELEM. COMMUNITY ED.",2010,0.6
"356","HAMILTON ELEM. COMMUNITY ED.",2011,0
"357","HAMILTON ELEM. COMMUNITY ED.",2012,0
"358","HAMILTON ELEM. COMMUNITY ED.",2013,0
"359","HAMILTON ELEM. COMMUNITY ED.",2014,0.8
"360","HAMILTON ELEM. COMMUNITY ED.",2015,0.3
"361","HENRY ELEM.",2008,0
"362","HENRY ELEM.",2009,0
"363","HENRY ELEM.",2010,0.9
"364","HENRY ELEM.",2011,0.4
"365","HENRY ELEM.",2012,1.9
"366","HENRY ELEM.",2013,0
"367","HENRY ELEM.",2014,0
"368","HENRY ELEM.",2015,0
"369","HERZOG ELEM.",2008,1.6
"370","HERZOG ELEM.",2009,0.4
"371","HERZOG ELEM.",2010,0.8
"372","HERZOG ELEM.",2011,0.8
"373","HERZOG ELEM.",2012,0.3
"374","HERZOG ELEM.",2013,0
"375","HERZOG ELEM.",2014,0.5
"376","HERZOG ELEM.",2015,0.5
"377","HICKEY ELEM.",2008,0
"378","HICKEY ELEM.",2009,1
"379","HICKEY ELEM.",2010,0.4
"380","HICKEY ELEM.",2011,0.5
"381","HICKEY ELEM.",2012,0
"382","HICKEY ELEM.",2013,0.5
"383","HICKEY ELEM.",2014,0.5
"384","HICKEY ELEM.",2015,0
"385","HODGEN ELEM.",2008,0.5
"386","HODGEN ELEM.",2009,0
"387","HODGEN ELEM.",2010,0
"388","HODGEN ELEM.",2011,0
"389","HODGEN ELEM.",2012,0.4
"390","HODGEN ELEM.",2013,0
"391","HODGEN ELEM.",2014,0.4
"392","HODGEN ELEM.",2015,0
"393","HUMBOLDT ACAD OF HIGHER LRNING",2008,NA
"394","HUMBOLDT ACAD OF HIGHER LRNING",2009,NA
"395","HUMBOLDT ACAD OF HIGHER LRNING",2010,NA
"396","HUMBOLDT ACAD OF HIGHER LRNING",2011,NA
"397","HUMBOLDT ACAD OF HIGHER LRNING",2012,0
"398","HUMBOLDT ACAD OF HIGHER LRNING",2013,0
"399","HUMBOLDT ACAD OF HIGHER LRNING",2014,0
"400","HUMBOLDT ACAD OF HIGHER LRNING",2015,0
"401","JEFFERSON ELEM.",2008,0.3
"402","JEFFERSON ELEM.",2009,0.8
"403","JEFFERSON ELEM.",2010,0
"404","JEFFERSON ELEM.",2011,1.5
"405","JEFFERSON ELEM.",2012,0.5
"406","JEFFERSON ELEM.",2013,0.9
"407","JEFFERSON ELEM.",2014,0
"408","JEFFERSON ELEM.",2015,0
"409","KENNARD/CLASSICAL JR. ACAD.",2008,0
"410","KENNARD/CLASSICAL JR. ACAD.",2009,0
"411","KENNARD/CLASSICAL JR. ACAD.",2010,0.3
"412","KENNARD/CLASSICAL JR. ACAD.",2011,0
"413","KENNARD/CLASSICAL JR. ACAD.",2012,0
"414","KENNARD/CLASSICAL JR. ACAD.",2013,0
"415","KENNARD/CLASSICAL JR. ACAD.",2014,0
"416","KENNARD/CLASSICAL JR. ACAD.",2015,0
"417","LACLEDE ELEM.",2008,0
"418","LACLEDE ELEM.",2009,0
"419","LACLEDE ELEM.",2010,0
"420","LACLEDE ELEM.",2011,0
"421","LACLEDE ELEM.",2012,0
"422","LACLEDE ELEM.",2013,0.5
"423","LACLEDE ELEM.",2014,0.8
"424","LACLEDE ELEM.",2015,0
"425","LANGSTON MIDDLE",2008,1
"426","LANGSTON MIDDLE",2009,0.3
"427","LANGSTON MIDDLE",2010,2.3
"428","LANGSTON MIDDLE",2011,0.3
"429","LANGSTON MIDDLE",2012,0.3
"430","LANGSTON MIDDLE",2013,0.7
"431","LANGSTON MIDDLE",2014,0.4
"432","LANGSTON MIDDLE",2015,0
"433","LEXINGTON ELEM.",2008,0
"434","LEXINGTON ELEM.",2009,0
"435","LEXINGTON ELEM.",2010,0
"436","LEXINGTON ELEM.",2011,0
"437","LEXINGTON ELEM.",2012,0
"438","LEXINGTON ELEM.",2013,0
"439","LEXINGTON ELEM.",2014,0
"440","LEXINGTON ELEM.",2015,0.6
"441","LONG MIDDLE COMMUNITY ED. CTR.",2008,0
"442","LONG MIDDLE COMMUNITY ED. CTR.",2009,1
"443","LONG MIDDLE COMMUNITY ED. CTR.",2010,0.9
"444","LONG MIDDLE COMMUNITY ED. CTR.",2011,0
"445","LONG MIDDLE COMMUNITY ED. CTR.",2012,0
"446","LONG MIDDLE COMMUNITY ED. CTR.",2013,0.8
"447","LONG MIDDLE COMMUNITY ED. CTR.",2014,0.4
"448","LONG MIDDLE COMMUNITY ED. CTR.",2015,0
"449","L'OUVERTURE MIDDLE",2008,1
"450","L'OUVERTURE MIDDLE",2009,0.4
"451","L'OUVERTURE MIDDLE",2010,0.3
"452","L'OUVERTURE MIDDLE",2011,2.3
"453","L'OUVERTURE MIDDLE",2012,0
"454","L'OUVERTURE MIDDLE",2013,0.5
"455","L'OUVERTURE MIDDLE",2014,0
"456","L'OUVERTURE MIDDLE",2015,NA
"457","LYON AT BLOW ELEM.",2008,0.7
"458","LYON AT BLOW ELEM.",2009,0.6
"459","LYON AT BLOW ELEM.",2010,0
"460","LYON AT BLOW ELEM.",2011,0.3
"461","LYON AT BLOW ELEM.",2012,2
"462","LYON AT BLOW ELEM.",2013,0.3
"463","LYON AT BLOW ELEM.",2014,0
"464","LYON AT BLOW ELEM.",2015,0
"465","MALLINCKRODT A.B.I. ELEM.",2008,0
"466","MALLINCKRODT A.B.I. ELEM.",2009,0
"467","MALLINCKRODT A.B.I. ELEM.",2010,0
"468","MALLINCKRODT A.B.I. ELEM.",2011,0
"469","MALLINCKRODT A.B.I. ELEM.",2012,0
"470","MALLINCKRODT A.B.I. ELEM.",2013,0
"471","MALLINCKRODT A.B.I. ELEM.",2014,0
"472","MALLINCKRODT A.B.I. ELEM.",2015,0
"473","MANN ELEM.",2008,0.5
"474","MANN ELEM.",2009,0
"475","MANN ELEM.",2010,0.4
"476","MANN ELEM.",2011,0.5
"477","MANN ELEM.",2012,0
"478","MANN ELEM.",2013,0
"479","MANN ELEM.",2014,0
"480","MANN ELEM.",2015,0.6
"481","MARK TWAIN ELEM.",2008,0
"482","MARK TWAIN ELEM.",2009,0.9
"483","MARK TWAIN ELEM.",2010,NA
"484","MARK TWAIN ELEM.",2011,NA
"485","MARK TWAIN ELEM.",2012,NA
"486","MARK TWAIN ELEM.",2013,NA
"487","MARK TWAIN ELEM.",2014,NA
"488","MARK TWAIN ELEM.",2015,NA
"489","MASON ELEM.",2008,0
"490","MASON ELEM.",2009,0.4
"491","MASON ELEM.",2010,0
"492","MASON ELEM.",2011,0
"493","MASON ELEM.",2012,0
"494","MASON ELEM.",2013,0
"495","MASON ELEM.",2014,0
"496","MASON ELEM.",2015,0
"497","MCKINLEY CLASS. LEADERSHIP AC.",2008,0
"498","MCKINLEY CLASS. LEADERSHIP AC.",2009,0
"499","MCKINLEY CLASS. LEADERSHIP AC.",2010,0
"500","MCKINLEY CLASS. LEADERSHIP AC.",2011,0
"501","MCKINLEY CLASS. LEADERSHIP AC.",2012,0
"502","MCKINLEY CLASS. LEADERSHIP AC.",2013,0
"503","MCKINLEY CLASS. LEADERSHIP AC.",2014,0
"504","MCKINLEY CLASS. LEADERSHIP AC.",2015,0.4
"505","MCKINLEY/CLASSICAL JR. ACAD.",2008,0.3
"506","MCKINLEY/CLASSICAL JR. ACAD.",2009,0
"507","MCKINLEY/CLASSICAL JR. ACAD.",2010,0
"508","MCKINLEY/CLASSICAL JR. ACAD.",2011,NA
"509","MCKINLEY/CLASSICAL JR. ACAD.",2012,NA
"510","MCKINLEY/CLASSICAL JR. ACAD.",2013,NA
"511","MCKINLEY/CLASSICAL JR. ACAD.",2014,NA
"512","MCKINLEY/CLASSICAL JR. ACAD.",2015,NA
"513","MEDA P. WASHINGTON EARLY CHILD",2008,0
"514","MEDA P. WASHINGTON EARLY CHILD",2009,0
"515","MEDA P. WASHINGTON EARLY CHILD",2010,NA
"516","MEDA P. WASHINGTON EARLY CHILD",2011,NA
"517","MEDA P. WASHINGTON EARLY CHILD",2012,NA
"518","MEDA P. WASHINGTON EARLY CHILD",2013,NA
"519","MEDA P. WASHINGTON EARLY CHILD",2014,NA
"520","MEDA P. WASHINGTON EARLY CHILD",2015,NA
"521","MERAMEC ELEM.",2008,0
"522","MERAMEC ELEM.",2009,0.5
"523","MERAMEC ELEM.",2010,0
"524","MERAMEC ELEM.",2011,0
"525","MERAMEC ELEM.",2012,0
"526","MERAMEC ELEM.",2013,0
"527","MERAMEC ELEM.",2014,0
"528","MERAMEC ELEM.",2015,0
"529","METRO HIGH",2008,0
"530","METRO HIGH",2009,0
"531","METRO HIGH",2010,0
"532","METRO HIGH",2011,0
"533","METRO HIGH",2012,0.3
"534","METRO HIGH",2013,0
"535","METRO HIGH",2014,0
"536","METRO HIGH",2015,0
"537","MILLER CAREER ACADEMY",2008,0.4
"538","MILLER CAREER ACADEMY",2009,0.4
"539","MILLER CAREER ACADEMY",2010,0.4
"540","MILLER CAREER ACADEMY",2011,0
"541","MILLER CAREER ACADEMY",2012,0.7
"542","MILLER CAREER ACADEMY",2013,0.1
"543","MILLER CAREER ACADEMY",2014,0.3
"544","MILLER CAREER ACADEMY",2015,0.4
"545","MITCHELL ELEM.",2008,1.2
"546","MITCHELL ELEM.",2009,NA
"547","MITCHELL ELEM.",2010,NA
"548","MITCHELL ELEM.",2011,NA
"549","MITCHELL ELEM.",2012,NA
"550","MITCHELL ELEM.",2013,NA
"551","MITCHELL ELEM.",2014,NA
"552","MITCHELL ELEM.",2015,NA
