,Name,Year,Out_School_Suspension
158,CENTRAL VISUAL/PERF. ARTS HIGH,2013,3.6
159,CENTRAL VISUAL/PERF. ARTS HIGH,2014,1.7
160,CENTRAL VISUAL/PERF. ARTS HIGH,2015,0
161,CLARK ELEM.,2008,0.5
162,CLARK ELEM.,2009,5.6
163,CLARK ELEM.,2010,NA
164,CLARK ELEM.,2011,NA
165,CLARK ELEM.,2012,NA
166,CLARK ELEM.,2013,NA
167,CLARK ELEM.,2014,NA
168,CLARK ELEM.,2015,NA
169,CLAY ELEM.,2008,0
170,CLAY ELEM.,2009,0.6
171,CLAY ELEM.,2010,0
172,CLAY ELEM.,2011,0
173,CLAY ELEM.,2012,0
174,CLAY ELEM.,2013,0
175,CLAY ELEM.,2014,0
176,CLAY ELEM.,2015,0
177,CLEVELAND NJROTC ACADEMY,2008,7.8
178,CLEVELAND NJROTC ACADEMY,2009,2.6
179,CLEVELAND NJROTC ACADEMY,2010,5.9
180,CLEVELAND NJROTC ACADEMY,2011,2.3
181,CLEVELAND NJROTC ACADEMY,2012,4.6
182,CLEVELAND NJROTC ACADEMY,2013,3.6
183,CLEVELAND NJROTC ACADEMY,2014,3.3
184,CLEVELAND NJROTC ACADEMY,2015,4.5
185,COLE ELEM.,2008,0
186,COLE ELEM.,2009,0.6
187,COLE ELEM.,2010,0
188,COLE ELEM.,2011,0.6
189,COLE ELEM.,2012,0.5
190,COLE ELEM.,2013,0
191,COLE ELEM.,2014,0.6
192,COLE ELEM.,2015,1.6
193,COLLEGIATE SCHOOL OF MED/BIO,2008,NA
194,COLLEGIATE SCHOOL OF MED/BIO,2009,NA
195,COLLEGIATE SCHOOL OF MED/BIO,2010,NA
196,COLLEGIATE SCHOOL OF MED/BIO,2011,NA
197,COLLEGIATE SCHOOL OF MED/BIO,2012,NA
198,COLLEGIATE SCHOOL OF MED/BIO,2013,NA
199,COLLEGIATE SCHOOL OF MED/BIO,2014,0
200,COLLEGIATE SCHOOL OF MED/BIO,2015,0
201,COLUMBIA ELEM. COMM. ED. CTR.,2008,1.6
202,COLUMBIA ELEM. COMM. ED. CTR.,2009,0
203,COLUMBIA ELEM. COMM. ED. CTR.,2010,0
204,COLUMBIA ELEM. COMM. ED. CTR.,2011,1.6
205,COLUMBIA ELEM. COMM. ED. CTR.,2012,0
206,COLUMBIA ELEM. COMM. ED. CTR.,2013,2
207,COLUMBIA ELEM. COMM. ED. CTR.,2014,0.9
208,COLUMBIA ELEM. COMM. ED. CTR.,2015,0
209,COMMUNITY ACCESS JOB TRAINING,2008,3.4
210,COMMUNITY ACCESS JOB TRAINING,2009,1.5
211,COMMUNITY ACCESS JOB TRAINING,2010,0
212,COMMUNITY ACCESS JOB TRAINING,2011,0
213,COMMUNITY ACCESS JOB TRAINING,2012,0
214,COMMUNITY ACCESS JOB TRAINING,2013,0
215,COMMUNITY ACCESS JOB TRAINING,2014,0
216,COMMUNITY ACCESS JOB TRAINING,2015,0
217,COMPTON-DREW ILC MIDDLE,2008,5
218,COMPTON-DREW ILC MIDDLE,2009,2.7
219,COMPTON-DREW ILC MIDDLE,2010,3.5
220,COMPTON-DREW ILC MIDDLE,2011,3.6
221,COMPTON-DREW ILC MIDDLE,2012,3
222,COMPTON-DREW ILC MIDDLE,2013,2.2
223,COMPTON-DREW ILC MIDDLE,2014,1.5
224,COMPTON-DREW ILC MIDDLE,2015,3.8
225,COTE BRILLIANTE ELEM.,2008,0.8
226,COTE BRILLIANTE ELEM.,2009,1.5
227,COTE BRILLIANTE ELEM.,2010,2
228,COTE BRILLIANTE ELEM.,2011,1.7
229,COTE BRILLIANTE ELEM.,2012,0
230,COTE BRILLIANTE ELEM.,2013,0
231,COTE BRILLIANTE ELEM.,2014,0
232,COTE BRILLIANTE ELEM.,2015,0.9
233,DEWEY SCH.-INTERNAT'L. STUDIES,2008,0
234,DEWEY SCH.-INTERNAT'L. STUDIES,2009,0
235,DEWEY SCH.-INTERNAT'L. STUDIES,2010,0
236,DEWEY SCH.-INTERNAT'L. STUDIES,2011,0
237,DEWEY SCH.-INTERNAT'L. STUDIES,2012,0.5
238,DEWEY SCH.-INTERNAT'L. STUDIES,2013,0.5
239,DEWEY SCH.-INTERNAT'L. STUDIES,2014,0
240,DEWEY SCH.-INTERNAT'L. STUDIES,2015,0.3
241,DUNBAR AND BR.,2008,6.5
242,DUNBAR AND BR.,2009,4.1
243,DUNBAR AND BR.,2010,4.1
244,DUNBAR AND BR.,2011,2.1
245,DUNBAR AND BR.,2012,0
246,DUNBAR AND BR.,2013,0.5
247,DUNBAR AND BR.,2014,0
248,DUNBAR AND BR.,2015,0.5
249,EARL NANCE SR. ELEM.,2008,1
250,EARL NANCE SR. ELEM.,2009,0.7
251,EARL NANCE SR. ELEM.,2010,2.2
252,EARL NANCE SR. ELEM.,2011,0.5
253,EARL NANCE SR. ELEM.,2012,0
254,EARL NANCE SR. ELEM.,2013,0
255,EARL NANCE SR. ELEM.,2014,2.1
256,EARL NANCE SR. ELEM.,2015,2.1
257,ELIAS MICHAEL ELEM.,2008,0
258,ELIAS MICHAEL ELEM.,2009,0
259,ELIAS MICHAEL ELEM.,2010,0
260,ELIAS MICHAEL ELEM.,2011,0
261,ELIAS MICHAEL ELEM.,2012,0
262,ELIAS MICHAEL ELEM.,2013,0
263,ELIAS MICHAEL ELEM.,2014,0
264,ELIAS MICHAEL ELEM.,2015,0
265,EXTERNAL LOCATION,2008,0
266,EXTERNAL LOCATION,2009,0
267,EXTERNAL LOCATION,2010,0
268,EXTERNAL LOCATION,2011,0
269,EXTERNAL LOCATION,2012,0
270,EXTERNAL LOCATION,2013,0
271,EXTERNAL LOCATION,2014,0
272,EXTERNAL LOCATION,2015,0
273,FANNING MIDDLE COMMUNITY ED.,2008,12.1
274,FANNING MIDDLE COMMUNITY ED.,2009,15.6
275,FANNING MIDDLE COMMUNITY ED.,2010,15.1
276,FANNING MIDDLE COMMUNITY ED.,2011,5.9
277,FANNING MIDDLE COMMUNITY ED.,2012,14.2
278,FANNING MIDDLE COMMUNITY ED.,2013,12.6
279,FANNING MIDDLE COMMUNITY ED.,2014,1.5
280,FANNING MIDDLE COMMUNITY ED.,2015,4.8
281,FARRAGUT ELEM.,2008,0.5
282,FARRAGUT ELEM.,2009,1.7
283,FARRAGUT ELEM.,2010,2.3
284,FARRAGUT ELEM.,2011,0.6
285,FARRAGUT ELEM.,2012,1.2
286,FARRAGUT ELEM.,2013,0
287,FARRAGUT ELEM.,2014,0
288,FARRAGUT ELEM.,2015,0
289,FORD-FORD BR. ELEM. COMM. ED.,2008,0.3
290,FORD-FORD BR. ELEM. COMM. ED.,2009,0.7
291,FORD-FORD BR. ELEM. COMM. ED.,2010,0.3
292,FORD-FORD BR. ELEM. COMM. ED.,2011,1.4
293,FORD-FORD BR. ELEM. COMM. ED.,2012,2.8
294,FORD-FORD BR. ELEM. COMM. ED.,2013,3.4
295,FORD-FORD BR. ELEM. COMM. ED.,2014,0.8
296,FORD-FORD BR. ELEM. COMM. ED.,2015,0.3
297,FROEBEL ELEM.,2008,0
298,FROEBEL ELEM.,2009,0
299,FROEBEL ELEM.,2010,0.6
300,FROEBEL ELEM.,2011,0.3
301,FROEBEL ELEM.,2012,0
302,FROEBEL ELEM.,2013,0
303,FROEBEL ELEM.,2014,0
304,FROEBEL ELEM.,2015,0
305,GALLAUDET SCH. FOR DEAF ELEM.,2008,4.9
306,GALLAUDET SCH. FOR DEAF ELEM.,2009,2.4
307,GALLAUDET SCH. FOR DEAF ELEM.,2010,2.1
308,GALLAUDET SCH. FOR DEAF ELEM.,2011,0
309,GALLAUDET SCH. FOR DEAF ELEM.,2012,NA
310,GALLAUDET SCH. FOR DEAF ELEM.,2013,NA
311,GALLAUDET SCH. FOR DEAF ELEM.,2014,NA
312,GALLAUDET SCH. FOR DEAF ELEM.,2015,NA
313,GATEWAY ELEM.,2008,0.6
314,GATEWAY ELEM.,2009,0.5
315,GATEWAY ELEM.,2010,0.6
316,GATEWAY ELEM.,2011,0.9
317,GATEWAY ELEM.,2012,1
318,GATEWAY ELEM.,2013,0
319,GATEWAY ELEM.,2014,0
320,GATEWAY ELEM.,2015,0.2
321,GATEWAY HIGH,2008,9.7
322,GATEWAY HIGH,2009,4.5
323,GATEWAY HIGH,2010,6.8
324,GATEWAY HIGH,2011,4.9
325,GATEWAY HIGH,2012,2.9
326,GATEWAY HIGH,2013,3
327,GATEWAY HIGH,2014,1.9
328,GATEWAY HIGH,2015,2.3
329,GATEWAY MIDDLE,2008,4.3
330,GATEWAY MIDDLE,2009,3.5
331,GATEWAY MIDDLE,2010,5.5
332,GATEWAY MIDDLE,2011,4.3
333,GATEWAY MIDDLE,2012,5.2
334,GATEWAY MIDDLE,2013,3.5
335,GATEWAY MIDDLE,2014,4.1
336,GATEWAY MIDDLE,2015,3.8
337,GRISCOM JUVENILE DETENTION CTR,2008,0
338,GRISCOM JUVENILE DETENTION CTR,2009,17.4
339,GRISCOM JUVENILE DETENTION CTR,2010,0
340,GRISCOM JUVENILE DETENTION CTR,2011,0
341,GRISCOM JUVENILE DETENTION CTR,2012,NA
342,GRISCOM JUVENILE DETENTION CTR,2013,NA
343,GRISCOM JUVENILE DETENTION CTR,2014,NA
344,GRISCOM JUVENILE DETENTION CTR,2015,0
345,GUNDLACH ELEM.,2008,4.6
346,GUNDLACH ELEM.,2009,NA
347,GUNDLACH ELEM.,2010,NA
348,GUNDLACH ELEM.,2011,NA
349,GUNDLACH ELEM.,2012,NA
350,GUNDLACH ELEM.,2013,NA
351,GUNDLACH ELEM.,2014,NA
352,GUNDLACH ELEM.,2015,NA
353,HAMILTON ELEM. COMMUNITY ED.,2008,4.7
354,HAMILTON ELEM. COMMUNITY ED.,2009,1.1
355,HAMILTON ELEM. COMMUNITY ED.,2010,2.6
356,HAMILTON ELEM. COMMUNITY ED.,2011,0.3
357,HAMILTON ELEM. COMMUNITY ED.,2012,1.3
358,HAMILTON ELEM. COMMUNITY ED.,2013,0.3
359,HAMILTON ELEM. COMMUNITY ED.,2014,1.6
360,HAMILTON ELEM. COMMUNITY ED.,2015,1.4
361,HENRY ELEM.,2008,3.7
362,HENRY ELEM.,2009,0.6
363,HENRY ELEM.,2010,1.3
364,HENRY ELEM.,2011,1.4
365,HENRY ELEM.,2012,4.7
366,HENRY ELEM.,2013,0.9
367,HENRY ELEM.,2014,1.1
368,HENRY ELEM.,2015,1.6
369,HERZOG ELEM.,2008,3.6
370,HERZOG ELEM.,2009,2.6
371,HERZOG ELEM.,2010,4.9
372,HERZOG ELEM.,2011,3.4
373,HERZOG ELEM.,2012,2.7
374,HERZOG ELEM.,2013,0.5
375,HERZOG ELEM.,2014,1.5
376,HERZOG ELEM.,2015,0.5
377,HICKEY ELEM.,2008,0
378,HICKEY ELEM.,2009,3
379,HICKEY ELEM.,2010,1.2
380,HICKEY ELEM.,2011,0.5
381,HICKEY ELEM.,2012,0
382,HICKEY ELEM.,2013,1.1
383,HICKEY ELEM.,2014,0.5
384,HICKEY ELEM.,2015,0
385,HODGEN ELEM.,2008,1
386,HODGEN ELEM.,2009,1.3
387,HODGEN ELEM.,2010,3.6
388,HODGEN ELEM.,2011,1.2
389,HODGEN ELEM.,2012,0.4
390,HODGEN ELEM.,2013,0
391,HODGEN ELEM.,2014,0.7
392,HODGEN ELEM.,2015,0
393,HUMBOLDT ACAD OF HIGHER LRNING,2008,NA
394,HUMBOLDT ACAD OF HIGHER LRNING,2009,NA
395,HUMBOLDT ACAD OF HIGHER LRNING,2010,NA
396,HUMBOLDT ACAD OF HIGHER LRNING,2011,NA
397,HUMBOLDT ACAD OF HIGHER LRNING,2012,0
398,HUMBOLDT ACAD OF HIGHER LRNING,2013,0
399,HUMBOLDT ACAD OF HIGHER LRNING,2014,0
400,HUMBOLDT ACAD OF HIGHER LRNING,2015,0
401,JEFFERSON ELEM.,2008,1
402,JEFFERSON ELEM.,2009,2
403,JEFFERSON ELEM.,2010,1.9
404,JEFFERSON ELEM.,2011,2.5
405,JEFFERSON ELEM.,2012,2
406,JEFFERSON ELEM.,2013,0.9
407,JEFFERSON ELEM.,2014,0.9
408,JEFFERSON ELEM.,2015,1.5
409,KENNARD/CLASSICAL JR. ACAD.,2008,0
410,KENNARD/CLASSICAL JR. ACAD.,2009,0
411,KENNARD/CLASSICAL JR. ACAD.,2010,0.3
412,KENNARD/CLASSICAL JR. ACAD.,2011,0
413,KENNARD/CLASSICAL JR. ACAD.,2012,0
414,KENNARD/CLASSICAL JR. ACAD.,2013,0
415,KENNARD/CLASSICAL JR. ACAD.,2014,0
416,KENNARD/CLASSICAL JR. ACAD.,2015,0
417,LACLEDE ELEM.,2008,2.3
418,LACLEDE ELEM.,2009,0.8
419,LACLEDE ELEM.,2010,1.2
420,LACLEDE ELEM.,2011,0
421,LACLEDE ELEM.,2012,0
422,LACLEDE ELEM.,2013,0.5
423,LACLEDE ELEM.,2014,0.8
424,LACLEDE ELEM.,2015,1.8
425,LANGSTON MIDDLE,2008,9
426,LANGSTON MIDDLE,2009,5.2
427,LANGSTON MIDDLE,2010,8.3
428,LANGSTON MIDDLE,2011,15.4
429,LANGSTON MIDDLE,2012,10.7
430,LANGSTON MIDDLE,2013,7.6
431,LANGSTON MIDDLE,2014,10.1
432,LANGSTON MIDDLE,2015,7.4
433,LEXINGTON ELEM.,2008,1.4
434,LEXINGTON ELEM.,2009,0.4
435,LEXINGTON ELEM.,2010,0
436,LEXINGTON ELEM.,2011,0
437,LEXINGTON ELEM.,2012,0
438,LEXINGTON ELEM.,2013,0.4
439,LEXINGTON ELEM.,2014,0.9
440,LEXINGTON ELEM.,2015,1.2
441,LONG MIDDLE COMMUNITY ED. CTR.,2008,10.5
442,LONG MIDDLE COMMUNITY ED. CTR.,2009,4.4
443,LONG MIDDLE COMMUNITY ED. CTR.,2010,3.3
444,LONG MIDDLE COMMUNITY ED. CTR.,2011,7.9
445,LONG MIDDLE COMMUNITY ED. CTR.,2012,7.3
446,LONG MIDDLE COMMUNITY ED. CTR.,2013,9.3
447,LONG MIDDLE COMMUNITY ED. CTR.,2014,5.7
448,LONG MIDDLE COMMUNITY ED. CTR.,2015,7.1
449,L'OUVERTURE MIDDLE,2008,10.6
450,L'OUVERTURE MIDDLE,2009,18.1
451,L'OUVERTURE MIDDLE,2010,16.3
452,L'OUVERTURE MIDDLE,2011,15.1
453,L'OUVERTURE MIDDLE,2012,12.2
454,L'OUVERTURE MIDDLE,2013,14.7
455,L'OUVERTURE MIDDLE,2014,0
456,L'OUVERTURE MIDDLE,2015,NA
457,LYON AT BLOW ELEM.,2008,1.3
458,LYON AT BLOW ELEM.,2009,4.8
459,LYON AT BLOW ELEM.,2010,1.8
460,LYON AT BLOW ELEM.,2011,4.4
461,LYON AT BLOW ELEM.,2012,9.4
462,LYON AT BLOW ELEM.,2013,2.3
463,LYON AT BLOW ELEM.,2014,2.1
464,LYON AT BLOW ELEM.,2015,2.8
465,MALLINCKRODT A.B.I. ELEM.,2008,0
466,MALLINCKRODT A.B.I. ELEM.,2009,0
467,MALLINCKRODT A.B.I. ELEM.,2010,0
468,MALLINCKRODT A.B.I. ELEM.,2011,0.6
469,MALLINCKRODT A.B.I. ELEM.,2012,0
470,MALLINCKRODT A.B.I. ELEM.,2013,0
471,MALLINCKRODT A.B.I. ELEM.,2014,0
472,MALLINCKRODT A.B.I. ELEM.,2015,0
473,MANN ELEM.,2008,0.5
474,MANN ELEM.,2009,0
475,MANN ELEM.,2010,0.4
476,MANN ELEM.,2011,2.9
477,MANN ELEM.,2012,0.9
478,MANN ELEM.,2013,2.3
479,MANN ELEM.,2014,0
480,MANN ELEM.,2015,0.6
481,MARK TWAIN ELEM.,2008,1.1
482,MARK TWAIN ELEM.,2009,2.3
483,MARK TWAIN ELEM.,2010,NA
484,MARK TWAIN ELEM.,2011,NA
485,MARK TWAIN ELEM.,2012,NA
486,MARK TWAIN ELEM.,2013,NA
487,MARK TWAIN ELEM.,2014,NA
488,MARK TWAIN ELEM.,2015,NA
489,MASON ELEM.,2008,0.7
490,MASON ELEM.,2009,0.4
491,MASON ELEM.,2010,0.4
492,MASON ELEM.,2011,0.3
493,MASON ELEM.,2012,0
494,MASON ELEM.,2013,0
495,MASON ELEM.,2014,0
496,MASON ELEM.,2015,0
497,MCKINLEY CLASS. LEADERSHIP AC.,2008,0
498,MCKINLEY CLASS. LEADERSHIP AC.,2009,0
499,MCKINLEY CLASS. LEADERSHIP AC.,2010,1.7
500,MCKINLEY CLASS. LEADERSHIP AC.,2011,0.7
501,MCKINLEY CLASS. LEADERSHIP AC.,2012,1
502,MCKINLEY CLASS. LEADERSHIP AC.,2013,0.2
503,MCKINLEY CLASS. LEADERSHIP AC.,2014,0.6
504,MCKINLEY CLASS. LEADERSHIP AC.,2015,0.6
505,MCKINLEY/CLASSICAL JR. ACAD.,2008,1.6
506,MCKINLEY/CLASSICAL JR. ACAD.,2009,1.5
507,MCKINLEY/CLASSICAL JR. ACAD.,2010,0.6
508,MCKINLEY/CLASSICAL JR. ACAD.,2011,NA
509,MCKINLEY/CLASSICAL JR. ACAD.,2012,NA
510,MCKINLEY/CLASSICAL JR. ACAD.,2013,NA
511,MCKINLEY/CLASSICAL JR. ACAD.,2014,NA
512,MCKINLEY/CLASSICAL JR. ACAD.,2015,NA
513,MEDA P. WASHINGTON EARLY CHILD,2008,0
514,MEDA P. WASHINGTON EARLY CHILD,2009,0
515,MEDA P. WASHINGTON EARLY CHILD,2010,NA
516,MEDA P. WASHINGTON EARLY CHILD,2011,NA
517,MEDA P. WASHINGTON EARLY CHILD,2012,NA
518,MEDA P. WASHINGTON EARLY CHILD,2013,NA
519,MEDA P. WASHINGTON EARLY CHILD,2014,NA
520,MEDA P. WASHINGTON EARLY CHILD,2015,NA
521,MERAMEC ELEM.,2008,1.4
522,MERAMEC ELEM.,2009,2.7
523,MERAMEC ELEM.,2010,2.4
524,MERAMEC ELEM.,2011,3.1
525,MERAMEC ELEM.,2012,0.5
526,MERAMEC ELEM.,2013,0
527,MERAMEC ELEM.,2014,0
528,MERAMEC ELEM.,2015,2.2
529,METRO HIGH,2008,0.6
530,METRO HIGH,2009,0
531,METRO HIGH,2010,0
532,METRO HIGH,2011,0
533,METRO HIGH,2012,0.3
534,METRO HIGH,2013,0.3
535,METRO HIGH,2014,0
536,METRO HIGH,2015,0
537,MILLER CAREER ACADEMY,2008,4.6
538,MILLER CAREER ACADEMY,2009,12.5
539,MILLER CAREER ACADEMY,2010,2.9
540,MILLER CAREER ACADEMY,2011,0.1
541,MILLER CAREER ACADEMY,2012,2.4
542,MILLER CAREER ACADEMY,2013,1.9
543,MILLER CAREER ACADEMY,2014,0.4
544,MILLER CAREER ACADEMY,2015,2.9
545,MITCHELL ELEM.,2008,2.1
546,MITCHELL ELEM.,2009,NA
547,MITCHELL ELEM.,2010,NA
548,MITCHELL ELEM.,2011,NA
549,MITCHELL ELEM.,2012,NA
550,MITCHELL ELEM.,2013,NA
551,MITCHELL ELEM.,2014,NA
552,MITCHELL ELEM.,2015,NA
553,MONROE ELEM.,2008,1.1
554,MONROE ELEM.,2009,0.6
555,MONROE ELEM.,2010,0
556,MONROE ELEM.,2011,0.4
557,MONROE ELEM.,2012,2.9
558,MONROE ELEM.,2013,0.6
559,MONROE ELEM.,2014,1
560,MONROE ELEM.,2015,0
561,MULLANPHY BOTANICAL GARDENS,2008,0.3
562,MULLANPHY BOTANICAL GARDENS,2009,0.2
563,MULLANPHY BOTANICAL GARDENS,2010,0
564,MULLANPHY BOTANICAL GARDENS,2011,0
565,MULLANPHY BOTANICAL GARDENS,2012,0
566,MULLANPHY BOTANICAL GARDENS,2013,0
567,MULLANPHY BOTANICAL GARDENS,2014,0
568,MULLANPHY BOTANICAL GARDENS,2015,0.8
569,NORTHWEST MIDDLE,2008,7.2
570,NORTHWEST MIDDLE,2009,3.1
571,NORTHWEST MIDDLE,2010,NA
